area,lon,lat,num_bed,num_bath,category,price,newprice,bank,cafe,clinic,college,hospital,mall,marketplace,medical_supply,parking,pharmacy,police,school,supermarket,university,priceP,point,pointPlus
140,106.747,10.79137,4,5,2,602556.5217,"13,500,000,000",6,10,0,0,1,9,0,1,3,2,2,8,6,0,15600,20,17700
75,105.837022,21.011586,4,5,2,436147.8261,"9,300,000,000",10,10,2,1,5,10,1,5,3,10,2,10,10,0,31800,20,27000
63,106.623296,10.797041,3,3,2,280521.7391,"5,900,000,000",3,10,0,0,2,10,1,2,1,10,1,8,6,0,24000,20,17700
120,106.673928,20.861537,6,4,2,396708.6957,"8,800,000,000",4,10,1,0,0,5,0,0,3,5,0,7,2,0,14100,18,14700
119,106.624152,10.779116,3,3,2,122304.3478,"2,399,000,000",2,10,0,0,1,10,0,1,2,10,1,5,4,0,18000,20,12600
75,106.692049,10.787674,4,5,2,477982.6087,"10,000,000,000",10,10,4,5,8,10,3,8,1,10,1,10,10,3,43200,20,33900
75,105.837022,21.011586,4,5,2,466582.6087,"10,000,000,000",10,10,2,1,5,10,1,5,3,10,2,10,10,0,31800,20,27000
89,106.604342,10.831077,4,5,2,217769.5652,"4,850,000,000",2,4,0,0,0,2,1,0,1,3,0,1,4,0,6900,15,5400
180,105.746169,20.981178,5,4,2,338986.9565,"7,500,000,000",0,2,0,0,0,10,2,0,1,5,0,4,4,0,12900,20,6600
100,106.699716,10.761365,3,3,2,169730.4348,"3,200,000,000",10,10,7,0,4,10,1,4,2,10,2,10,9,1,30600,20,25500
63,106.631794,10.783421,5,5,2,388465.2174,"8,500,000,000",8,10,2,1,1,10,0,1,0,9,0,6,3,0,18900,20,17700
93,106.61597,10.877462,3,2,2,148504.3478,"3,250,000,000",0,10,0,0,0,5,0,0,0,4,0,1,4,0,7200,15,6900
100,106.000509,20.941027,4,5,2,278413.0435,"6,300,000,000",0,0,1,0,0,0,1,0,0,3,0,1,0,0,4500,5,1800
100,106.572785,10.691346,4,5,2,145130.4348,"3,200,000,000",0,6,0,0,0,1,0,0,0,0,0,5,0,0,6000,15,8100
104,106.679399,20.858592,4,4,2,139817.3913,"2,650,000,000",10,10,0,0,2,10,1,2,0,10,2,10,3,0,24600,18,23700
40,107.114099,20.968809,1,1,2,79160.86957,"1,800,000,000",1,1,0,0,0,0,0,0,1,1,0,0,0,0,900,13.5,1200
97,105.778083,21.091274,3,3,2,198886.9565,"4,187,999,999",0,2,2,0,0,7,2,0,0,10,1,5,1,0,16800,20,7500
150,106.076286,20.791219,5,4,2,111095.6522,"2,500,000,000",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2400,5,1800
225,106.699716,10.761365,3,4,2,169730.4348,"3,200,000,000",10,10,7,0,4,10,1,4,2,10,2,10,9,1,30600,20,25500
29,106.669455,10.763621,4,3,2,259469.5652,"4,850,000,000",10,10,8,4,5,10,9,5,0,10,3,10,10,7,48600,20,36000
90,105.837022,21.011586,4,3,2,457886.9565,"9,800,000,000",10,10,2,1,5,10,1,5,3,10,2,10,10,0,31800,20,27000
100,106.777758,10.818972,5,5,2,273469.5652,"6,000,000,000",5,10,0,0,0,10,1,0,0,6,0,5,1,0,12600,20,14400
147,106.671885,10.881472,6,4,2,457421.7391,"10,500,000,000",1,10,0,0,0,3,0,0,0,1,0,0,0,0,900,20,6600
85,106.109486,21.249249,4,3,2,427286.9565,"9,800,000,000",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1200,5,900
132,105.739557,21.033253,4,5,2,378439.1304,"8,366,000,000",0,2,1,0,1,2,2,1,0,5,1,4,6,0,14700,20,7500
50,105.829191,21.033142,4,4,2,265156.5217,"5,450,000,000",10,10,2,0,0,10,2,0,2,10,1,10,8,1,28200,20,22800
84,105.835771,20.998958,4,4,2,219817.3913,"4,490,000,000",7,10,0,0,7,10,2,7,1,10,0,5,7,0,24600,20,22800
80,106.784998,10.807637,5,5,2,409000,"9,200,000,000",0,10,0,0,0,3,0,0,1,2,0,4,4,0,9000,20,9600
100,106.653519,10.755353,7,9,2,581878.2609,"12,500,000,000",10,10,2,2,4,10,10,4,5,10,2,10,9,1,38400,20,34800
98,106.67817,10.773415,3,4,2,459839.1304,"9,700,000,000",10,10,3,7,3,10,2,3,1,9,1,10,5,3,38100,20,29700
200,108.451021,11.977631,3,2,2,372565.2174,"8,500,000,000",0,7,0,0,0,2,0,0,1,2,0,0,2,0,3000,2,4200
140,106.606949,10.757924,5,5,2,579617.3913,"13,000,000,000",0,10,1,1,1,10,1,1,0,10,1,1,3,0,14400,20,9300
125,106.543646,20.983621,6,8,2,202552.1739,"4,500,000,000",0,1,0,0,1,1,0,1,0,3,0,2,2,0,6900,3,3300
92,105.779711,20.974271,6,6,2,944843.4783,"21,000,000,000",10,10,3,3,0,10,2,0,0,10,1,10,6,2,31800,20,24600
70,106.64822,10.755788,3,3,2,216286.9565,"4,050,000,000",10,10,0,8,8,10,2,8,2,10,2,10,6,0,40200,20,34800
105,105.851586,20.972869,6,6,2,309147.8261,"7,000,000,000",0,6,0,0,0,5,0,0,1,4,0,1,0,0,4800,20,4500
144,105.906053,21.023198,4,5,2,374969.5652,"8,300,000,000",0,10,0,0,1,7,2,1,0,9,0,3,1,0,14100,20,11400
155,106.768576,10.829269,4,4,2,345886.9565,"7,500,000,000",9,10,1,1,0,10,1,0,1,10,1,4,7,0,19800,20,16500
168,106.109486,21.249249,5,4,2,479460.8696,"11,000,000,000",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1200,5,900
75,106.800077,10.793105,5,4,2,189360.8695,"4,099,999,999",0,7,0,0,1,0,0,1,0,1,1,7,2,0,11100,20,11400
50,105.865192,21.010977,8,4,2,412156.5217,"8,900,000,000",2,10,2,0,0,10,2,0,1,10,3,10,5,0,25200,20,18000
280,106.702249,10.763225,3,4,2,551739.1304,"12,000,000,000",10,10,8,0,7,10,2,7,0,10,1,10,4,1,30000,20,29100
98,106.67817,10.773415,4,5,2,459839.1304,"9,700,000,000",10,10,3,7,3,10,2,3,1,9,1,10,5,3,38100,20,29700
140,105.787017,21.032339,5,6,2,726252.1739,"16,000,000,000",10,10,2,4,0,10,1,0,2,10,0,10,5,1,30600,20,24300
320,106.699716,10.761365,6,6,2,313208.6957,"6,500,000,000",10,10,7,0,4,10,1,4,2,10,2,10,9,1,30600,20,25500
75,106.777758,10.818972,4,4,2,282165.2174,"6,200,000,000",5,10,0,0,0,10,1,0,0,6,0,5,1,0,12600,20,14400
226,106.692049,10.787674,4,4,2,521460.8696,"11,000,000,000",10,10,4,5,8,10,3,8,1,10,1,10,10,3,43200,20,33900
500,106.775159,10.666219,3,3,2,347078.2609,"7,900,000,000",0,5,1,0,0,1,1,0,0,2,0,1,0,0,3600,15,4800
140,106.638446,10.878758,5,4,2,354808.6957,"7,650,000,000",2,10,2,1,1,10,3,1,0,10,0,4,6,1,22200,20,15000
64,105.845504,21.109464,3,2,2,79778.26087,"1,690,000,000",0,5,0,0,0,1,1,0,2,1,0,4,0,0,6300,15,7500
80,106.70382,10.693344,4,4,2,221591.3043,"5,000,000,000",0,6,2,0,0,3,0,0,0,0,1,3,1,0,4200,15,6300
80,106.637837,10.795209,5,6,2,456686.9565,"9,800,000,000",10,10,1,1,2,10,2,2,0,10,0,10,10,0,30600,20,25200
98,106.655258,10.875097,4,4,2,208252.1739,"4,500,000,000",0,10,0,0,0,7,0,0,1,6,0,4,4,0,12600,20,9600
31,105.797489,19.333755,5,3,2,144978.2609,"3,300,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
61,105.797489,19.333755,6,5,2,475413.0435,"10,900,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
60,106.741673,10.799437,3,2,2,55108.69565,"750,000,000",10,10,0,2,0,10,0,0,2,5,0,10,6,0,22500,20,22200
80,105.797489,19.333755,4,3,2,258021.7391,"5,900,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
35,105.797489,19.333755,4,4,2,114543.4783,"2,600,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
52,105.797489,19.333755,6,4,2,388456.5217,"8,900,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
34,105.78627,21.042413,4,5,2,377978.2609,"7,900,000,000",8,10,0,3,0,10,2,0,0,9,0,10,6,5,34500,20,23400
55,105.797489,19.333755,2,2,2,131934.7826,"3,000,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
100,105.785081,21.110698,8,2,2,81786.95652,"1,750,000,000",0,0,0,0,0,5,2,0,1,3,0,1,1,0,5700,15,2700
31,105.797489,19.333755,5,2,2,144978.2609,"3,300,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
28,105.797489,19.333755,5,5,2,71065.21739,"1,600,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
44,105.797489,19.333755,4,4,2,62369.56522,"1,400,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
38,105.797489,19.333755,4,4,2,121065.2174,"2,750,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
50,105.785081,21.110698,6,4,2,240482.6087,"5,400,000,000",0,0,0,0,0,5,2,0,1,3,0,1,1,0,5700,15,2700
38,105.797489,19.333755,4,4,2,125413.0435,"2,850,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
100,106.096688,21.443972,3,2,2,68969.56522,"1,400,000,000",1,5,0,0,0,8,2,0,0,5,0,2,0,0,8100,2.5,7200
37,105.797489,19.333755,4,4,2,131934.7826,"3,000,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
20,105.797489,19.333755,1,1,2,88456.52174,"2,000,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
38,105.797489,19.333755,4,4,2,138456.5217,"3,150,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
35,105.78627,21.042413,4,4,2,199717.3913,"3,800,000,000",8,10,0,3,0,10,2,0,0,9,0,10,6,5,34500,20,23400
50,105.797489,19.333755,3,3,2,221065.2174,"5,050,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
50,105.78627,21.042413,5,5,2,221456.5217,"4,300,000,000",8,10,0,3,0,10,2,0,0,9,0,10,6,5,34500,20,23400
40,105.797489,19.333755,3,3,2,131934.7826,"3,000,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
45,105.797489,19.333755,4,4,2,184108.6957,"4,200,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
50,105.78627,21.042413,4,4,2,164934.7826,"3,000,000,000",8,10,0,3,0,10,2,0,0,9,0,10,6,5,34500,20,23400
43,105.797489,19.333755,7,3,2,129760.8696,"2,950,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
32,105.797489,19.333755,3,4,2,123239.1304,"2,800,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
26,105.797489,19.333755,3,3,2,125413.0435,"2,850,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
70,105.797489,19.333755,4,3,2,392804.3478,"9,000,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
50,105.797489,19.333755,6,3,2,166717.3913,"3,800,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
71,105.797489,19.333755,5,5,2,423239.1304,"9,700,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
70,105.797489,19.333755,4,4,2,392804.3478,"9,000,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
46,105.797489,19.333755,5,3,2,236282.6087,"5,400,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
52,105.797489,19.333755,3,2,2,162369.5652,"3,700,000,000",0,3,0,0,0,1,0,0,0,1,0,0,1,0,1500,4,1800
